date_local,Region,Month,Year,Carbon monoxide,Nitrogen dioxide (NO2),Ozone,PM2.5 - Local Conditions,DayAirTmpAvg (F),DayAirTmpMax (F),DayAirTmpMin (F),DayDewPnt (F),DayPrecip (in),DayRelHumAvg (%),DayRelHumMax (%),DayRelHumMin (%),DaySolRadAvg (Ly/day),DayVapPresAvg (mBars),DayWindRun (MPH),DayWindSpdAvg (MPH),Temp_Range,WindCategory,gis_acres,shape__area,shape__length,duration_days,normalized_intensity
2013-01-09,3.0,1.0,2013.0,0.306780875,7.7652176,0.0219369,7.6564815,49.2,70.5,33.8,35.0,0.0,58.0,86.0,23.0,201.0,6.9,129.8,5.4,36.7,Medium,0.0,0.0,0.0,0.0,0.0
2013-01-09,4.0,1.0,2013.0,0.6357205,14.6050725,0.019564625,14.207165833333336,45.1,54.9,36.0,42.2,0.02,89.0,100.0,73.0,141.0,9.1,106.4,4.4,18.9,Low,0.0,0.0,0.0,0.0,0.0
2013-01-10,1.0,1.0,2013.0,0.55502725,21.6347825,0.0156645625,6.300000000000001,38.6,49.6,29.6,29.8,0.0,70.0,90.0,49.0,266.0,5.6,81.0,3.4,20.0,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-10,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0106345833333333,5.833333333333333,18.8,30.7,10.7,15.6,0.1,87.0,88.0,83.0,113.0,3.1,40.3,1.7,20.0,Low,0.0,0.0,0.0,0.0,0.0
2013-01-10,3.0,1.0,2013.0,0.174490875,4.0217392,0.03262625,4.804408222222222,38.4,45.4,31.1,31.0,0.03,75.0,91.0,45.0,224.0,5.9,135.6,5.7,14.299999999999995,Medium,0.0,0.0,0.0,0.0,0.0
2013-01-10,4.0,1.0,2013.0,0.4304814999999999,14.0361895,0.021281625,8.15673076923077,41.3,51.6,32.4,35.2,0.0,79.0,100.0,53.0,206.0,6.9,132.5,5.5,19.200000000000003,Medium,0.0,0.0,0.0,0.0,0.0
2013-01-11,1.0,1.0,2013.0,0.66059775,18.9530795,0.01453975,9.3,37.2,49.7,27.1,29.9,0.0,75.0,91.0,47.0,208.0,5.6,77.8,3.2,22.6,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-11,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.01212125,8.28175028179473,14.0,32.6,-2.0,11.6,0.02,90.0,87.0,80.0,135.0,2.6,49.1,2.0,34.6,Low,0.0,0.0,0.0,0.0,0.0
2013-01-11,3.0,1.0,2013.0,0.240529,6.58,0.0275349,4.906380833333333,31.3,43.2,20.8,23.7,0.0,73.0,90.0,40.0,231.0,4.3,81.5,3.4,22.4,Low,0.0,0.0,0.0,0.0,0.0
2013-01-11,4.0,1.0,2013.0,0.525501,15.097233,0.020195125,11.102777777777778,41.1,52.5,28.1,34.9,0.03,78.0,100.0,47.0,225.0,6.9,94.8,4.0,24.4,Low,0.0,0.0,0.0,0.0,0.0
2013-01-12,1.0,1.0,2013.0,0.46938425,10.171739,0.0208028125,8.28175028179473,37.9,46.9,30.0,25.3,0.0,60.0,80.0,36.0,279.0,4.6,159.5,6.6,16.9,Medium,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-12,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.02605675,8.28175028179473,2.4,30.4,-12.6,-0.7,0.0,87.0,88.0,74.0,165.0,1.5,32.6,1.4,43.0,Low,0.0,0.0,0.0,0.0,0.0
2013-01-12,3.0,1.0,2013.0,0.248586125,7.0026086,0.0258029,7.558333333333334,31.0,42.6,22.5,24.1,0.0,75.0,92.0,52.0,294.0,4.4,91.6,3.8,20.1,Low,0.0,0.0,0.0,0.0,0.0
2013-01-12,4.0,1.0,2013.0,0.49476575,17.640711500000002,0.0155366249999999,11.002314777777777,40.9,54.2,29.5,31.8,0.0,70.0,100.0,34.0,270.0,6.1,75.1,3.1,24.700000000000003,Low,0.0,0.0,0.0,0.0,0.0
2013-01-13,1.0,1.0,2013.0,0.6987319999999999,10.7259055,0.02610475,7.15,35.9,44.8,25.4,20.5,0.0,53.0,81.0,39.0,255.0,3.8,192.9,8.0,19.4,Medium,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-13,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0332208333333333,8.28175028179473,0.2,21.3,-15.3,-3.6,0.0,83.0,81.0,71.0,153.0,1.3,35.2,1.5,36.6,Low,0.0,0.0,0.0,0.0,0.0
2013-01-13,3.0,1.0,2013.0,0.25064325,6.986087,0.02829875,7.806018499999999,29.5,44.0,19.0,22.1,0.0,73.0,89.0,48.0,306.0,4.1,105.2,4.4,25.0,Low,0.0,0.0,0.0,0.0,0.0
2013-01-13,4.0,1.0,2013.0,0.55780525,16.714032,0.019056875,13.158333346153846,35.6,49.4,24.8,25.1,0.0,65.0,100.0,31.0,255.0,4.6,106.8,4.5,24.6,Low,0.0,0.0,0.0,0.0,0.0
2013-01-14,1.0,1.0,2013.0,0.4136325,14.4326085,0.02106425,6.2,39.0,49.0,30.3,19.1,0.0,44.0,70.0,28.0,276.0,3.6,200.0,10.0,18.7,Medium,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
