objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,shape__area,shape__length,duration_days,intensity,rescaled_intensity,geometry,Region,fire_season,normalized_intensity
625,2021.0,CDF,SHU,CREEKSIDE,2021-07-12 00:00:00+00:00,2021-07-13 00:00:00+00:00,23.22825,162162.26953125,2484.7853362389,2,15.78382314616143,21.0,POINT (-122.5 40.7),2,Fire Season,0.21663756977849224
626,2021.0,CDF,SHU,MAXWELL,2021-10-05 00:00:00+00:00,2021-10-10 00:00:00+00:00,76.48464,538284.56640625,4057.04197218816,6,26.756592829607623,35.0,POINT (-122.5 40.7),2,Fire Season,0.37124806018344947
627,2021.0,CDF,SHU,COW,2021-06-20 00:00:00+00:00,2021-06-26 00:00:00+00:00,761.1113,5340043.98828125,12304.1919128263,7,35.961366002318144,46.0,POINT (-122.5 40.7),2,Fire Season,0.5009468085720331
628,2021.0,CDF,SHU,ROCK,2021-06-15 00:00:00+00:00,2021-06-19 00:00:00+00:00,107.1646,753830.9921875,4574.98440353208,5,26.836663563494177,35.0,POINT (-122.5 40.7),2,Fire Season,0.3723762872209641
629,2021.0,CDF,SHU,FAWN,2021-09-22 00:00:00+00:00,2021-09-29 00:00:00+00:00,8576.493,60482385.6523438,62296.7297385723,8,45.52567384339798,58.0,POINT (-122.5 40.7),2,Fire Season,0.6357115369271904
650,2021.0,CDF,SHU,PINE,2021-06-23 00:00:00+00:00,2021-06-23 00:00:00+00:00,50.93539,356470.75390625,3139.79178940638,1,14.262309969889465,19.0,POINT (-122.5 40.7),2,Fire Season,0.19519887151656623
651,2021.0,CDF,SHU,HOUSE,2021-08-04 00:00:00+00:00,2021-08-09 00:00:00+00:00,59.11795,415496.1796875,3304.57106936492,6,25.840298165089195,34.0,POINT (-122.5 40.7),2,Fire Season,0.3583371205097256
655,2021.0,CCO,SBC,BALLARD,2021-06-08 00:00:00+00:00,2021-06-09 00:00:00+00:00,37.1573,222814.39453125,4835.32681787755,2,17.42380006213729,23.0,POINT (-119.7 34.4),3,Fire Season,0.23974546710494032
656,2021.0,CCO,SBC,ONE,2021-06-21 00:00:00+00:00,2021-06-22 00:00:00+00:00,37.05353,221572.7890625,3102.80310347931,2,17.4139672415357,23.0,POINT (-119.7 34.4),3,Fire Season,0.23960691892985478
657,2021.0,CCO,SBC,CABALLO,2021-09-06 00:00:00+00:00,2021-09-07 00:00:00+00:00,69.51533,416871.44140625,7245.44082193802,2,19.64118476992126,26.0,POINT (-119.7 34.4),3,Fire Season,0.2709892594178453
658,2021.0,CDF,LNU,SODA,2021-04-17 00:00:00+00:00,2021-04-17 00:00:00+00:00,1.20866,8055.453125,389.780737510151,1,2.861076816685517,5.0,POINT (-122.7 38.5),1,Off Season,0.03455116816620337
659,2021.0,CDF,LNU,CERRITO,2021-04-18 00:00:00+00:00,2021-04-18 00:00:00+00:00,1.056455,7094.75,391.354087458596,1,2.603263494881981,4.0,POINT (-122.7 38.5),1,Off Season,0.030918480588962908
660,2021.0,CDF,LNU,MUNIZ,2021-04-20 00:00:00+00:00,2021-04-20 00:00:00+00:00,2.227886,14745.203125,521.159267366658,1,4.231130178434066,6.0,POINT (-122.7 38.5),1,Off Season,0.053855740143182666
661,2021.0,CDF,LNU,TULLEY,2021-04-28 00:00:00+00:00,2021-04-30 00:00:00+00:00,62.66148,416141.93359375,2981.4759968897,3,21.77247573872124,28.0,POINT (-122.7 38.5),1,Off Season,0.3010199582649143
662,2021.0,CDF,LNU,WILSON,2021-04-29 00:00:00+00:00,2021-04-29 00:00:00+00:00,1.552339,10328.9921875,462.634048430491,1,3.383272991830021,5.0,POINT (-122.7 38.5),1,Off Season,0.041909110514021596
663,2021.0,CDF,LNU,COUNTY,2021-05-08 00:00:00+00:00,2021-05-08 00:00:00+00:00,2.854398,19001.359375,638.558290400238,1,4.871624811498447,7.0,POINT (-122.7 38.5),1,Fire Season,0.06288055267244062
664,2021.0,CDF,LNU,LOPEZ,2021-05-08 00:00:00+00:00,2021-05-11 00:00:00+00:00,55.25064,361697.53515625,3198.162964173,4,23.09973037408792,30.0,POINT (-122.7 38.5),1,Fire Season,0.3197214799395992
665,2021.0,CDF,LNU,MOODY,2021-05-16 00:00:00+00:00,2021-05-17 00:00:00+00:00,20.24225,134086.890625,1689.14647117225,2,15.30891649644532,20.0,POINT (-122.7 38.5),1,Fire Season,0.20994595479636477
666,2021.0,CDF,LNU,WEST,2021-05-26 00:00:00+00:00,2021-05-26 00:00:00+00:00,2.58838,17132.08203125,540.475070484937,1,4.613408474281499,7.0,POINT (-122.7 38.5),1,Fire Season,0.05924218645502946
667,2021.0,CDF,LNU,GROVE,2021-05-26 00:00:00+00:00,2021-05-26 00:00:00+00:00,8.765407,57675.9453125,1159.54858140673,1,8.228255144363011,11.0,POINT (-122.7 38.5),1,Fire Season,0.11017674833170768
668,2021.0,CDF,LNU,ACACIA,2021-05-29 00:00:00+00:00,2021-05-29 00:00:00+00:00,6.082049,40184.5859375,1055.99491629512,1,7.068195196714866,10.0,POINT (-122.7 38.5),1,Fire Season,0.09383106327867936
669,2021.0,CDF,LNU,DREAM,2021-06-23 00:00:00+00:00,2021-06-23 00:00:00+00:00,4.769748,31392.328125,769.152461693201,1,6.328234622041232,9.0,POINT (-122.7 38.5),1,Fire Season,0.08340473787213959
670,2021.0,CDF,LNU,GRANGE,2021-07-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,6.612106,43608.453125,1151.74732724435,1,7.328804046213731,10.0,POINT (-122.7 38.5),1,Fire Season,0.09750314090240624
671,2021.0,CDF,LNU,GIBSON,2021-07-20 00:00:00+00:00,2021-07-22 00:00:00+00:00,29.98372,197580.67578125,2232.54540755351,3,19.172338620432445,25.0,POINT (-122.7 38.5),1,Fire Season,0.26438303918465295
672,2021.0,CDF,LNU,EASTSIDE,2021-08-03 00:00:00+00:00,2021-08-04 00:00:00+00:00,10.85849,72149.05859375,1196.39581891299,2,13.20405955079346,18.0,POINT (-122.7 38.5),1,Fire Season,0.1802877213705351
673,2021.0,CDF,LNU,PLYE,2021-08-07 00:00:00+00:00,2021-08-07 00:00:00+00:00,6.29127,42376.3046875,926.671253389571,1,7.173319131259685,10.0,POINT (-122.7 38.5),1,Fire Season,0.09531229942435307
674,2021.0,CDF,LNU,NEWELL,2021-10-11 00:00:00+00:00,2021-10-11 00:00:00+00:00,137.1334,899414.30859375,5250.50164105218,1,17.794377635766757,23.0,POINT (-122.7 38.5),1,Fire Season,0.24496704579881998
675,2021.0,CDF,LNU,DIMOND,2021-07-30 00:00:00+00:00,2021-07-30 00:00:00+00:00,4.771153,31877.6875,1058.48602867033,1,6.329113764657189,9.0,POINT (-122.7 38.5),1,Fire Season,0.08341712532534513
676,2021.0,CDF,LNU,STUBBS,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,1.37785,9251.7890625,417.925631688694,1,3.127585998197279,5.0,POINT (-122.7 38.5),1,Fire Season,0.03830638370792028
677,2021.0,CDF,LNU,SCOTTS,2021-04-28 00:00:00+00:00,2021-04-28 00:00:00+00:00,8.720953,58736.3984375,1454.22631790989,1,8.211780972252678,11.0,POINT (-122.7 38.5),1,Off Season,0.1099446209926242
678,2021.0,CDF,LNU,OLD,2021-01-18 00:00:00+00:00,2021-01-18 00:00:00+00:00,3.873497,25848.5390625,756.577794001759,1,5.7186864685033605,8.0,POINT (-122.7 38.5),1,Off Season,0.07481597298754503
