objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,complex_name,shape__area,shape__length,duration_days,intensity,rescaled_intensity
102,2023.0,CDF,MMU,WHISKEY,2023-07-03 00:00:00+00:00,2023-07-03 00:00:00+00:00,83.0,,528590.0625,3723.28800078224,0 days,15.998398852910857,21.0
103,2023.0,CDF,BEU,WILLIAMS,2023-08-13 00:00:00+00:00,2023-08-16 00:00:00+00:00,4.5,,27820.04296875,740.678816912956,3 days,14.704577034262906,20.0
104,2023.0,CCO,VNC,TRAIL,2023-07-26 00:00:00+00:00,2023-07-27 00:00:00+00:00,1.655345,,9795.05078125,785.699282226667,1 days,7.800740783392886,11.0
105,2023.0,LRA,VNC,VILLANOVA,2023-07-05 00:00:00+00:00,2023-07-06 00:00:00+00:00,13.01236,,77596.91015625,1574.08464907446,1 days,13.806671797018533,18.0
106,2023.0,CCO,VNC,SOUTH,2023-12-09 00:00:00+00:00,2023-12-12 00:00:00+00:00,2715.4,,16143487.7421875,46856.1700438683,3 days,37.09934266389979,48.0
107,2023.0,CDF,RRU,ROCK,2023-08-09 00:00:00+00:00,2023-08-10 00:00:00+00:00,531.0221,,3125684.390625,9266.77327412283,1 days,26.937907728993295,35.0
108,2023.0,CDF,RRU,BONNY,2023-07-26 00:00:00+00:00,2023-08-07 00:00:00+00:00,2323.106,,13545480.4726562,30310.0484777186,12 days,43.804893111415446,56.0
109,2023.0,CDF,BEU,WILLIAMS,2023-10-06 00:00:00+00:00,2023-10-09 00:00:00+00:00,53.9,,334473.51171875,4810.72489922024,3 days,23.0119754007332,30.0
110,2023.0,LRA,NEU,TANWOODS,2023-07-16 00:00:00+00:00,2023-07-16 00:00:00+00:00,9.532271,,63489.2890625,1306.55259728356,0 days,8.501216696039409,12.0
111,2023.0,LRA,NEU,FOOTHILLS,2023-08-05 00:00:00+00:00,2023-08-05 00:00:00+00:00,25.0,,166830.6015625,2057.58620182663,0 days,11.764044934144655,16.0
112,2023.0,LRA,NEU,BREWER,2023-07-11 00:00:00+00:00,2023-07-11 00:00:00+00:00,11.63,,72340.890625,1438.59412432952,0 days,9.157033611362133,13.0
